rasamanjari||s,r3,g3,s,p,m2,p,n3,d3,n3|s.,n3,d3,n3,p,p,m2,p,r3,g3,s|72
dhirasvarupini||s,r1,g3,m2,p,d1,n1,s.|s.,n1,d1,p,m2,g3,r1,s|49
sumanisharanjani||s,g2,m2,p,n2,s.|s.,n2,p,m2,g2,s|56
gurugadya||n2,s,g2,p,m2,d1,n2|d1,p,m2,g2,r2,s,n2|56
azhaladi||s,r2,m2,p,d1,n2,s.|s.,n2,d1,p,m2,g2,s|56
kusumabhogi||s,r1,g3,m2,d1,n1,s.|s.,d1,n1,d1,m2,g3,r1,g3,s|49
saranga||s,r2,g3,m2,p,d2,n2,s.|s.,n2,d2,p,m2,r2,g3,m2,r2,s|64
minalocani||s,r1,g1,m1,p,d2,n3,p,s.|s.,n3,d2,p,m1,g1,r1,s|5
kanakabhupala||s,m1,g2,m1,p,d1,n3,s.|s.,n3,d1,m1,g2,r2,s|21
vilasavati||s,r2,m1,p,d3,s.|s.,d3,p,m1,r2,s|30
shekhari||s,r3,g3,m1,p,d2,n3,s.|s.,d2,n3,p,m1,r3,g3,s|35
torparam||s,r1,g3,m2,p,d1,n2,s.|s.,d1,p,g3,r1,s|50
dashanan||s,r1,g2,p,d1,n2,s.|s.,n2,p,m2,g2,s|44
tatturu||s,r1,g2,m2,p,d1,n3,s.|s.,n3,p,g2,s|45
svaramati||s,g2,m1,d2,n3,s.|s.,n3,d2,p,m1,g2,r2,s|23
tavan||s,r1,m2,p,d1,n3,s.|s.,n3,d1,p,m2,g2,s|45
jhankaravani||s,g2,r2,g2,m1,p,n2,s.|s.,n2,d1,p,m1,r2,s|20
veyul||s,g2,p,d2,s.|s.,n2,d2,p,m2,g2,r2,s|58
barvidhvaja||s,r2,g3,d3,n3,s.|s.,n3,d3,g3,r2,s|30
mallikavasantam||s,g3,m1,p,n3,s.|s.,n3,d1,p,m1,g3,r1,s|15
vatsam||g3,m2,p,d2,n2,s.|s.,n2,d2,p,m2,s|64
shobhavati||s,r2,m1,p,n2,s.|s.,d2,p,m1,g3,r2,s|28
padradhvani||s,m1,g3,m1,p,d2,n3,s.|s.,n3,d2,m1,g3,m1,g3,r2,s|29
kannal||s,r1,g3,m1,p,d2,n3,s.|s.,d2,p,m1,r1,s|17
